Date,S&P 500 지수,금 가격,달러 인덱스,나스닥 100,S&P 500 ETF,QQQ ETF,러셀 2000 ETF,다우 존스 ETF,VIX 지수,닛케이 225,상해종합,항셍,영국 FTSE,독일 DAX,프랑스 CAC 40,미국 전체 채권시장 ETF,TIPS ETF,투자등급 회사채 ETF,달러/엔,달러/위안,미국 리츠 ETF,애플,마이크로소프트,아마존,구글 A,구글 C,메타,테슬라,엔비디아,코스트코,넷플릭스,페이팔,인텔,시스코,컴캐스트,펩시코,암젠,허니웰 인터내셔널,스타벅스,몬델리즈,마이크론,브로드컴,어도비,텍사스 인스트루먼트,AMD,어플라이드 머티리얼즈
2025-04-15,,,,,,,,,,,,,,,,,,,143.18099975585938,7.3119001388549805,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-16,,,,,,,,,32.63999938964844,33920.3984375,3276.00390625,21056.98046875,8275.599609375,21311.01953125,7329.97021484375,,,,141.92799377441406,7.3119001388549805,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-17,5282.7001953125,,,18258.08984375,526.4099731445312,444.1000061035156,186.47999572753906,391.3599853515625,29.649999618530273,34377.6015625,3280.341064453125,21395.140625,8275.7001953125,21205.859375,7285.85986328125,97.87000274658203,109.02999877929688,106.75,,,86.83999633789062,196.97999572753906,367.7799987792969,172.61000061035156,151.16000366210938,153.36000061035156,501.4800109863281,241.3699951171875,101.48999786376953,994.5,973.030029296875,61.0,18.93000030517578,55.7599983215332,34.0099983215332,142.83999633789062,277.2900085449219,196.60000610351562,81.5,67.31999969482422,68.80000305175781,170.99000549316406,348.79998779296875,148.44000244140625,87.5,137.4600067138672
2025-04-18,,,,,,,,,,34730.28125,3276.72998046875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-21,5158.2001953125,3406.199951171875,98.27999877929688,17808.30078125,513.8800048828125,433.1099853515625,182.74000549316406,381.6199951171875,33.81999969482422,34279.921875,3291.43408203125,,,,,97.27999877929688,108.47000122070312,105.5999984741211,140.87600708007812,7.298999786376953,85.02999877929688,193.16000366210938,359.1199951171875,167.32000732421875,147.6699981689453,149.86000061035156,484.6600036621094,227.5,96.91000366210938,957.77001953125,987.9099731445312,60.28499984741211,18.84000015258789,54.369998931884766,33.599998474121094,141.72999572753906,273.67999267578125,194.22999572753906,80.68000030517578,67.76000213623047,66.73999786376953,166.2100067138672,343.2200012207031,145.61000061035156,85.55999755859375,135.55999755859375
2025-04-22,5287.759765625,3400.800048828125,98.91999816894531,18276.41015625,527.25,444.4800109863281,187.47000122070312,391.8699951171875,30.56999969482422,34220.6015625,3299.757080078125,21562.3203125,8328.599609375,21293.529296875,7326.47021484375,97.45999908447266,108.87000274658203,105.86000061035156,142.68800354003906,7.311800003051758,86.68000030517578,199.74000549316406,366.82000732421875,173.17999267578125,151.47000122070312,153.89999389648438,500.2799987792969,237.97000122070312,98.88999938964844,979.22998046875,1040.3399658203125,61.41999816894531,19.510000228881836,55.040000915527344,34.20000076293945,143.4600067138672,278.3999938964844,198.3699951171875,81.75,68.29000091552734,70.20999908447266,169.5800018310547,349.9100036621094,146.75999450683594,86.26000213623047,138.3000030517578
2025-04-23,5375.85986328125,3276.300048828125,99.83999633789062,18693.259765625,535.4199829101562,454.55999755859375,190.25,395.9100036621094,28.450000762939453,34868.62890625,3296.35498046875,22072.619140625,8403.2001953125,21961.970703125,7482.35986328125,97.69999694824219,109.19000244140625,106.33000183105469,143.22300720214844,7.285999774932861,86.83999633789062,204.60000610351562,374.3900146484375,180.60000610351562,155.35000610351562,157.72000122070312,520.27001953125,250.74000549316406,102.70999908447266,975.8400268554688,1049.5899658203125,62.459999084472656,20.59000015258789,55.630001068115234,34.470001220703125,142.25999450683594,277.8999938964844,197.30999755859375,82.80999755859375,67.37999725341797,72.93000030517578,176.91000366210938,351.9599914550781,152.14999389648438,90.38999938964844,143.5800018310547
2025-04-24,5484.77001953125,3332.0,99.29000091552734,19214.400390625,546.6900024414062,467.3500061035156,194.05999755859375,400.9800109863281,26.469999313354492,35039.1484375,3297.2880859375,21909.759765625,8407.400390625,22064.509765625,7502.77978515625,98.23999786376953,109.7699966430664,107.41999816894531,142.87899780273438,7.285999774932861,87.16000366210938,208.3699951171875,387.29998779296875,186.5399932861328,159.27999877929688,161.47000122070312,533.1500244140625,259.510009765625,106.43000030517578,975.47998046875,1096.8699951171875,64.7699966430664,21.489999771118164,56.290000915527344,33.189998626708984,135.30999755859375,279.8399963378906,200.74000549316406,83.86000061035156,65.5199966430664,77.41999816894531,188.14999389648438,360.9100036621094,162.1300048828125,94.47000122070312,150.1699981689453
2025-04-25,5525.2099609375,3282.39990234375,99.47000122070312,19432.560546875,550.6400146484375,472.55999755859375,194.1199951171875,401.0199890136719,24.84000015258789,35705.73828125,3295.06005859375,21980.740234375,8415.2998046875,22242.44921875,7536.259765625,98.5999984741211,109.81999969482422,107.98999786376953,,,87.01000213623047,209.27999877929688,391.8500061035156,188.99000549316406,161.9600067138672,163.85000610351562,547.27001953125,284.95001220703125,111.01000213623047,977.1599731445312,1101.530029296875,65.33999633789062,20.049999237060547,56.709999084472656,33.900001525878906,133.3800048828125,280.8399963378906,199.16000366210938,83.80999755859375,65.58999633789062,79.77999877929688,192.30999755859375,367.7200012207031,162.86000061035156,96.6500015258789,151.5500030517578
